"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_2",0.38,0.62,0.36,0,6,100,38,0.38,62,36,0.43,0.4,0.57,0.27,0.27,0.36,0.23,58,2,4
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_2",0.25,0.75,0.23,6,7,100,25,0.27,69,23,0.29,0.4,0.29,0.2,0.13,0.21,0.08,70,2,5
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","zero_shot","unstructured","answer_first","markdown","test_set_2",0.42,0.58,0.4,0,7,100,42,0.42,58,40,0.43,0.4,0.57,0.2,0.53,0.36,0.31,53,2,5
"llama3","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","markdown","test_set_1",0.44,0.56,0.42,0,4,99,44,0.44,56,42,0.57,0.43,0.54,0.33,0.5,0.38,0.25,53,2,2
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","zero_shot","structured","fact_first","number_list","test_set_2",0.41,0.59,0.37,0,7,100,41,0.41,59,37,0.5,0.33,0.5,0.4,0.27,0.29,0.31,56,4,3
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","number_list","test_set_2",0.52,0.48,0.48,2,5,100,52,0.53,46,48,0.36,0.27,0.57,0.47,0.6,0.71,0.38,47,4,1
"llama2","seed_206","trained","all_domains_75_samples",75,"temp_06","few_shot","structured","fact_first","markdown","test_set_2",0.24,0.76,0.21,3,9,100,24,0.25,73,21,0.43,0.47,0.07,0.13,0.2,0.07,0.08,70,3,6
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","answer_first","markdown","test_set_2",0.48,0.52,0.45,0,6,100,48,0.48,52,45,0.36,0.27,0.64,0.33,0.47,0.57,0.54,49,3,3
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","number_list","test_set_2",0.28,0.72,0.26,2,6,100,28,0.29,70,26,0.14,0.47,0.43,0.13,0.2,0.21,0.23,68,2,4
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","answer_first","number_list","test_set_2",0.54,0.46,0.53,0,3,100,54,0.54,46,53,0.5,0.33,0.57,0.47,0.47,0.79,0.62,44,1,2
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","answer_first","number_list","test_set_1",0.37,0.63,0.35,0,10,99,37,0.37,63,35,0.36,0.43,0.54,0.2,0.43,0.38,0.19,54,2,8
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_1",0.22,0.78,0.22,4,7,99,22,0.23,74,22,0.07,0.36,0.38,0.2,0.29,0.15,0.13,70,0,7
"llama3","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","structured","answer_first","markdown","test_set_2",0.54,0.46,0.51,0,7,100,54,0.54,46,51,0.5,0.33,0.57,0.53,0.4,0.71,0.54,42,3,4
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","number_list","test_set_1",0.35,0.65,0.34,0,7,99,35,0.35,65,34,0.29,0.43,0.38,0.27,0.29,0.31,0.44,58,1,6
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","zero_shot","structured","answer_first","markdown","test_set_2",0.45,0.55,0.3,5,40,100,45,0.47,50,30,0.14,0.33,0.5,0.33,0.27,0.29,0.23,30,15,25
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","number_list","test_set_2",0.51,0.49,0.49,0,3,100,51,0.51,49,49,0.57,0.53,0.43,0.33,0.6,0.36,0.62,48,2,1
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_2",0.48,0.52,0.45,1,5,100,48,0.48,51,45,0.5,0.4,0.5,0.4,0.53,0.43,0.38,50,3,2
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","answer_first","markdown","test_set_1",0.45,0.55,0.43,0,7,99,45,0.45,55,43,0.43,0.43,0.46,0.27,0.57,0.31,0.56,49,2,5
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.4,0.6,0.38,0,4,99,40,0.4,60,38,0.57,0.29,0.46,0.4,0.43,0.31,0.25,57,2,2
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_2",0.48,0.52,0.43,0,8,100,48,0.48,52,43,0.36,0.2,0.57,0.33,0.47,0.57,0.54,49,5,3
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.31,0.69,0.29,0,7,99,31,0.31,69,29,0.07,0.5,0.38,0.2,0.29,0.23,0.38,63,2,5
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","zero_shot","structured","fact_first","number_list","test_set_2",0.44,0.56,0.41,0,6,100,44,0.44,56,41,0.64,0.27,0.57,0.47,0.27,0.29,0.38,53,3,3
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","answer_first","markdown","test_set_2",0.36,0.64,0.33,0,7,100,36,0.36,64,33,0.43,0.4,0.5,0.27,0.13,0.43,0.15,60,3,4
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","answer_first","number_list","test_set_2",0.56,0.44,0.55,0,2,100,56,0.56,44,55,0.57,0.33,0.57,0.47,0.47,0.86,0.62,43,1,1
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_2",0.27,0.73,0.25,5,6,100,27,0.28,68,25,0.36,0.4,0.21,0.2,0.2,0.29,0.08,69,2,4
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_2",0.36,0.64,0.34,0,6,100,36,0.36,64,34,0.29,0.47,0.57,0.2,0.2,0.43,0.23,60,2,4
"llama2","seed_989","trained","all_domains_75_samples",75,"greedy","few_shot","structured","answer_first","markdown","test_set_2",0.3,0.7,0.27,0,11,100,30,0.3,70,27,0.29,0.27,0.43,0.27,0.2,0.21,0.23,62,3,8
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","answer_first","markdown","test_set_2",0.54,0.46,0.51,0,7,100,54,0.54,46,51,0.5,0.33,0.57,0.53,0.4,0.71,0.54,42,3,4
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","number_list","test_set_2",0.55,0.45,0.53,1,3,100,55,0.56,44,53,0.57,0.47,0.57,0.53,0.47,0.57,0.54,44,2,1
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_2",0.29,0.71,0.26,2,7,100,29,0.3,69,26,0.14,0.47,0.36,0.2,0.2,0.21,0.23,67,3,4
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_1",0.32,0.68,0.3,2,9,99,32,0.33,66,30,0.29,0.29,0.62,0.2,0.21,0.38,0.19,60,2,7
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_2",0.45,0.55,0.42,4,4,100,45,0.47,51,42,0.36,0.33,0.43,0.47,0.53,0.43,0.38,54,3,1
"llama3","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.48,0.52,0.46,1,4,99,48,0.48,51,46,0.5,0.36,0.31,0.53,0.64,0.54,0.38,49,2,2
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","zero_shot","structured","answer_first","markdown","test_set_2",0.44,0.56,0.32,6,38,100,44,0.47,50,32,0.21,0.4,0.5,0.33,0.27,0.29,0.23,30,12,26
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","answer_first","markdown","test_set_2",0.49,0.51,0.45,0,7,100,49,0.49,51,45,0.36,0.33,0.71,0.27,0.4,0.57,0.54,48,4,3
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","markdown","test_set_1",0.49,0.51,0.47,0,4,99,49,0.49,51,47,0.71,0.43,0.54,0.4,0.43,0.38,0.44,48,2,2
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","number_list","test_set_2",0.33,0.67,0.29,0,7,100,33,0.33,67,29,0.36,0.33,0.5,0.33,0.2,0.14,0.15,64,4,3
"llama2","seed_989","trained","all_domains_75_samples",75,"greedy","few_shot","structured","fact_first","markdown","test_set_2",0.31,0.69,0.28,1,7,100,31,0.31,68,28,0.43,0.33,0.43,0.2,0.33,0,0.23,65,3,4
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","structured","answer_first","number_list","test_set_2",0.37,0.63,0.34,0,6,100,37,0.37,63,34,0.43,0.4,0.5,0.27,0.27,0.29,0.23,60,3,3
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","answer_first","markdown","test_set_2",0.53,0.47,0.5,0,6,100,53,0.53,47,50,0.5,0.33,0.57,0.47,0.4,0.71,0.54,44,3,3
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","number_list","test_set_2",0.56,0.44,0.54,0,4,100,56,0.56,44,54,0.57,0.47,0.43,0.6,0.53,0.43,0.77,42,2,2
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_2",0.36,0.64,0.33,0,7,100,36,0.36,64,33,0.43,0.4,0.5,0.27,0.13,0.43,0.15,60,3,4
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_1",0.45,0.55,0.43,4,4,99,45,0.47,51,43,0.43,0.29,0.31,0.53,0.71,0.46,0.31,52,2,2
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.35,0.65,0.05,4,91,99,35,0.36,61,5,0.14,0,0,0,0.07,0.08,0.06,3,30,61
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","answer_first","number_list","test_set_2",0.35,0.65,0.34,0,6,100,35,0.35,65,34,0.29,0.4,0.57,0.27,0.27,0.36,0.23,60,1,5
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","answer_first","markdown","test_set_1",0.43,0.57,0.41,0,7,99,43,0.43,57,41,0.43,0.29,0.38,0.2,0.57,0.31,0.69,51,2,5
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","markdown","test_set_1",0.44,0.56,0.42,0,4,99,44,0.44,56,42,0.57,0.43,0.54,0.33,0.5,0.38,0.25,53,2,2
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_2",0.26,0.74,0.24,2,6,100,26,0.27,72,24,0.21,0.47,0.21,0.2,0.27,0.14,0.15,70,2,4
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","markdown","test_set_1",0.31,0.69,0.29,1,7,99,31,0.31,68,29,0.07,0.43,0.31,0.27,0.36,0.23,0.38,63,2,5
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","zero_shot","structured","answer_first","markdown","test_set_2",0.39,0.61,0.23,8,44,100,39,0.42,53,23,0.14,0.33,0.29,0.33,0.13,0.21,0.15,33,16,28
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.31,0.69,0.29,2,7,99,31,0.32,67,29,0.14,0.36,0.31,0.27,0.43,0.38,0.19,63,2,5
"llama2","seed_989","trained","all_domains_75_samples",75,"temp_025","few_shot","structured","answer_first","markdown","test_set_2",0.33,0.67,0.29,0,11,100,33,0.33,67,29,0.36,0.33,0.43,0.33,0.2,0.21,0.15,60,4,7
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_1",0.48,0.52,0.46,0,4,99,48,0.48,52,46,0.57,0.29,0.62,0.33,0.57,0.62,0.31,49,2,2
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","structured","answer_first","markdown","test_set_2",0.54,0.46,0.51,0,7,100,54,0.54,46,51,0.5,0.33,0.57,0.53,0.4,0.71,0.54,42,3,4
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","number_list","test_set_2",0.53,0.47,0.52,0,3,100,53,0.53,47,52,0.64,0.33,0.57,0.47,0.4,0.57,0.69,45,1,2
"llama3","seed_206","trained","all_domains_125_samples",125,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.51,0.49,0.47,0,5,99,50,0.5,50,47,0.57,0.29,0.69,0.6,0.5,0.38,0.31,47,3,2
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","number_list","test_set_2",0.3,0.7,0.28,1,8,100,30,0.3,69,28,0.21,0.27,0.43,0.27,0.4,0.21,0.15,64,2,6
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.43,0.57,0.41,0,4,99,43,0.43,57,41,0.64,0.29,0.46,0.33,0.43,0.38,0.38,54,2,2
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","answer_first","markdown","test_set_2",0.39,0.61,0.36,0,8,100,39,0.39,61,36,0.5,0.47,0.57,0.2,0.13,0.43,0.23,56,3,5
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0.38,0.62,0.02,7,95,99,38,0.41,55,2,0.07,0,0,0,0,0.08,0,2,36,59
"llama2","seed_989","trained","all_domains_75_samples",75,"temp_025","few_shot","structured","fact_first","markdown","test_set_2",0.33,0.67,0.3,1,7,100,33,0.33,66,30,0.36,0.4,0.36,0.27,0.4,0.07,0.23,63,3,4
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","answer_first","number_list","test_set_2",0.35,0.65,0.32,0,6,100,35,0.35,65,32,0.36,0.4,0.5,0.27,0.27,0.29,0.15,62,3,3
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_2",0.35,0.65,0.34,0,6,100,35,0.35,65,34,0.36,0.33,0.57,0.27,0.2,0.43,0.23,60,1,5
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.48,0.52,0.46,1,4,99,48,0.48,51,46,0.5,0.36,0.31,0.53,0.64,0.54,0.38,49,2,2
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","number_list","test_set_2",0.28,0.72,0.26,2,6,100,28,0.29,70,26,0.14,0.47,0.43,0.13,0.2,0.21,0.23,68,2,4
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_1",0.26,0.74,0.26,5,7,99,26,0.27,69,26,0.21,0.36,0.31,0.27,0.29,0.15,0.25,66,0,7
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","answer_first","markdown","test_set_2",0.54,0.46,0.51,0,7,100,54,0.54,46,51,0.5,0.33,0.57,0.53,0.4,0.71,0.54,42,3,4
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0.54,0.46,0.51,1,5,99,53,0.54,46,50,0.64,0.29,0.69,0.6,0.43,0.54,0.38,44,3,2
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","structured","answer_first","markdown","test_set_2",0.37,0.63,0.32,0,8,100,37,0.37,63,32,0.36,0.47,0.43,0.33,0.27,0.21,0.15,60,5,3
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","markdown","test_set_1",0.42,0.58,0.4,0,4,99,42,0.42,58,40,0.57,0.43,0.46,0.47,0.29,0.31,0.31,55,2,2
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","markdown","test_set_1",0.32,0.68,0.31,0,7,99,32,0.32,68,31,0.07,0.57,0.38,0.27,0.36,0.31,0.25,61,1,6
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_1",0.53,0.47,0.51,0,4,99,52,0.52,48,50,0.5,0.43,0.54,0.53,0.64,0.54,0.38,45,2,2
"llama2","seed_989","trained","all_domains_75_samples",75,"temp_06","few_shot","structured","answer_first","markdown","test_set_2",0.33,0.67,0.29,0,12,100,33,0.33,67,29,0.36,0.33,0.36,0.33,0.2,0.21,0.23,59,4,8
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","zero_shot","structured","fact_first","markdown","test_set_1",0.42,0.58,0.03,8,93,99,42,0.46,50,3,0,0,0,0,0,0.08,0.13,3,39,54
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","answer_first","markdown","test_set_2",0.36,0.64,0.33,0,7,100,36,0.36,64,33,0.43,0.4,0.5,0.27,0.13,0.43,0.15,60,3,4
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","zero_shot","structured","fact_first","markdown","test_set_1",0.52,0.48,0.49,0,5,99,51,0.51,49,49,0.5,0.43,0.77,0.47,0.36,0.62,0.38,45,2,3
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","answer_first","markdown","test_set_2",0.55,0.45,0.51,0,8,100,55,0.55,45,51,0.57,0.27,0.57,0.53,0.4,0.71,0.54,41,4,4
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","answer_first","number_list","test_set_2",0.38,0.62,0.35,0,6,100,38,0.38,62,35,0.36,0.4,0.57,0.27,0.2,0.43,0.23,59,3,3
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","number_list","test_set_2",0.31,0.69,0.28,2,11,100,31,0.32,67,28,0.29,0.27,0.43,0.33,0.33,0.14,0.15,61,3,8
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_2",0.27,0.73,0.25,1,5,100,27,0.27,72,25,0.07,0.33,0.36,0.2,0.33,0.29,0.15,70,2,3
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_1",0.3,0.7,0.27,1,8,99,30,0.3,69,27,0.07,0.36,0.46,0.2,0.29,0.31,0.25,64,3,5
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_1",0.44,0.56,0.42,3,4,99,44,0.45,53,42,0.5,0.29,0.38,0.33,0.64,0.46,0.38,53,2,2
"llama3","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","markdown","test_set_2",0.56,0.44,0.51,0,6,100,56,0.56,44,51,0.86,0.4,0.36,0.33,0.4,0.64,0.62,43,5,1
"llama2","seed_989","trained","all_domains_75_samples",75,"temp_06","few_shot","structured","fact_first","markdown","test_set_2",0.31,0.69,0.27,2,10,100,31,0.32,67,27,0.36,0.4,0.21,0.27,0.27,0.14,0.23,63,4,6
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","answer_first","number_list","test_set_2",0.36,0.64,0.33,0,6,100,36,0.36,64,33,0.43,0.33,0.5,0.27,0.2,0.36,0.23,61,3,3
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.51,0.49,0.47,0,5,99,50,0.5,50,47,0.57,0.29,0.69,0.6,0.5,0.38,0.31,47,3,2
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.35,0.65,0.05,4,91,99,35,0.36,61,5,0.14,0,0,0,0.07,0.08,0.06,3,30,61
"llama3","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","markdown","test_set_2",0.47,0.53,0.44,0,6,100,47,0.47,53,44,0.64,0.4,0.29,0.4,0.47,0.5,0.38,50,3,3
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","answer_first","markdown","test_set_2",0.38,0.62,0.32,0,9,100,38,0.38,62,32,0.36,0.47,0.43,0.4,0.2,0.21,0.15,59,6,3
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_2",0.37,0.63,0.34,0,7,100,37,0.37,63,34,0.43,0.4,0.5,0.33,0.13,0.43,0.15,59,3,4
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.35,0.65,0.32,0,7,99,35,0.35,65,32,0.14,0.57,0.31,0.33,0.36,0.38,0.19,60,3,4
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","markdown","test_set_2",0.5,0.5,0.47,0,6,100,50,0.5,50,47,0.64,0.33,0.36,0.47,0.33,0.57,0.62,47,3,3
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_2",0.35,0.65,0.31,2,6,100,35,0.36,63,31,0.36,0.47,0.36,0.27,0.27,0.29,0.15,63,4,2
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0.51,0.49,0.47,0,5,99,50,0.5,50,47,0.57,0.14,0.77,0.53,0.57,0.54,0.25,47,3,2
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","markdown","test_set_2",0.29,0.71,0.26,2,6,100,29,0.3,69,26,0.29,0.33,0.36,0.33,0.27,0.07,0.15,68,3,3
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","number_list","test_set_2",0.33,0.67,0.29,0,7,100,33,0.33,67,29,0.36,0.33,0.5,0.33,0.2,0.14,0.15,64,4,3
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_2",0.53,0.47,0.5,1,6,100,53,0.54,46,50,0.57,0.47,0.43,0.47,0.53,0.57,0.46,44,3,3
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0.28,0.72,0.03,6,92,99,28,0.3,66,3,0.07,0,0.08,0,0,0,0.06,4,25,67
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","markdown","test_set_2",0.64,0.36,0.59,0,6,100,64,0.64,36,59,0.71,0.67,0.43,0.53,0.47,0.71,0.62,35,5,1
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_06","zero_shot","structured","fact_first","markdown","test_set_1",0.57,0.43,0.54,0,5,99,56,0.56,44,53,0.64,0.5,0.69,0.8,0.5,0.46,0.19,41,3,2
"llama2","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","structured","answer_first","number_list","test_set_2",0.37,0.63,0.34,0,6,100,37,0.37,63,34,0.43,0.4,0.5,0.27,0.27,0.29,0.23,60,3,3
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_2",0.51,0.49,0.48,1,6,100,51,0.52,48,48,0.57,0.33,0.43,0.47,0.47,0.57,0.54,46,3,3
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","answer_first","markdown","test_set_2",0.33,0.67,0.29,0,7,100,33,0.33,67,29,0.43,0.33,0.43,0.2,0.13,0.36,0.15,64,4,3
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_2",0.27,0.73,0.24,2,6,100,27,0.28,71,24,0.21,0.33,0.29,0.27,0.4,0.07,0.08,70,3,3
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","answer_first","markdown","test_set_2",0.37,0.63,0.31,0,10,100,37,0.37,63,31,0.36,0.47,0.36,0.4,0.2,0.21,0.15,59,6,4
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","few_shot","structured","fact_first","markdown","test_set_1",0.4,0.6,0.38,1,7,99,40,0.4,59,38,0.14,0.64,0.46,0.2,0.57,0.38,0.31,54,2,5
"llama3","seed_206","trained","all_domains_125_samples",125,"greedy","zero_shot","structured","fact_first","markdown","test_set_2",0.57,0.43,0.52,0,6,100,57,0.57,43,52,0.64,0.6,0.57,0.33,0.33,0.71,0.46,42,5,1
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","structured","fact_first","markdown","test_set_2",0.56,0.44,0.51,0,6,100,56,0.56,44,51,0.86,0.4,0.36,0.33,0.4,0.64,0.62,43,5,1
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_06","zero_shot","structured","fact_first","markdown","test_set_1",0.41,0.59,0.02,2,93,99,41,0.42,57,2,0,0,0,0,0,0.15,0,4,39,54
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","number_list","test_set_2",0.33,0.67,0.3,0,8,100,33,0.33,67,30,0.21,0.47,0.43,0.27,0.4,0.21,0.08,62,3,5
"llama3","seed_989","trained","all_domains_125_samples",125,"greedy","few_shot","unstructured","fact_first","markdown","test_set_2",0.47,0.53,0.44,0,6,100,47,0.47,53,44,0.64,0.4,0.29,0.4,0.47,0.5,0.38,50,3,3
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_025","zero_shot","structured","fact_first","markdown","test_set_2",0.54,0.46,0.5,0,5,100,54,0.54,46,50,0.5,0.47,0.57,0.4,0.4,0.64,0.54,45,4,1
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","fact_first","markdown","test_set_2",0.57,0.43,0.53,0,6,100,57,0.57,43,53,0.79,0.53,0.36,0.4,0.53,0.57,0.54,41,4,2
"llama2","seed_206","trained","all_domains_125_samples",125,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_2",0.31,0.69,0.28,3,6,100,31,0.32,66,28,0.43,0.27,0.43,0.2,0.27,0.14,0.23,66,3,3
"llama3","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_2",0.5,0.5,0.46,4,6,100,50,0.52,46,46,0.57,0.47,0.36,0.33,0.47,0.57,0.46,48,4,2
"llama2","seed_989","trained","all_domains_125_samples",125,"temp_025","few_shot","structured","answer_first","number_list","test_set_2",0.4,0.6,0.36,0,6,100,40,0.4,60,36,0.43,0.4,0.57,0.27,0.27,0.36,0.23,58,4,2
"llama2","seed_206","trained","all_domains_125_samples",125,"greedy","zero_shot","structured","fact_first","markdown","test_set_2",0.4,0.6,0.02,5,95,100,40,0.42,55,2,0,0,0,0.07,0.07,0,0,3,38,57
"llama3","seed_206","trained","all_domains_125_samples",125,"temp_06","zero_shot","structured","fact_first","markdown","test_set_2",0.5,0.5,0.44,0,6,100,50,0.5,50,44,0.57,0.4,0.57,0.33,0.27,0.57,0.38,50,6,0
